날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"	2019-01-01",156,0,-2.3,2.4
"	2019-01-02",156,-0.1,-2.8,4.2
"	2019-01-03",156,0.5,-3.5,6.5
"	2019-01-04",156,0.7,-4.1,3.9
"	2019-01-05",156,2,-2.1,6.9
"	2019-01-06",156,0.6,-2.8,6.3
"	2019-01-07",156,1.2,-3.2,6.3
"	2019-01-08",156,0.8,-1.3,5.1
"	2019-01-09",156,-0.9,-5.1,3.8
"	2019-01-10",156,2,-0.6,6.8
"	2019-01-11",156,4.2,-1.1,9.3
"	2019-01-12",156,4.6,1.8,9.7
"	2019-01-13",156,3.3,-0.1,8.8
"	2019-01-14",156,2.3,-2.2,9.3
"	2019-01-15",156,2,-1.9,7.2
"	2019-01-16",156,-2.1,-5.9,2.4
"	2019-01-17",156,1.1,-2.9,6.6
"	2019-01-18",156,2.4,-3,9.2
"	2019-01-19",156,3.6,-0.8,8.5
"	2019-01-20",156,2.2,-0.7,4.9
"	2019-01-21",156,2.1,-2.1,8
"	2019-01-22",156,3.4,-2.2,10
"	2019-01-23",156,4.4,0.6,10
"	2019-01-24",156,2.8,-1.7,9.9
"	2019-01-25",156,0.9,-1.9,5.8
"	2019-01-26",156,-0.5,-3.1,3.8
"	2019-01-27",156,0.9,-5.3,7.7
"	2019-01-28",156,3.4,-0.1,8.5
"	2019-01-29",156,2.1,-3.3,9.7
"	2019-01-30",156,4.1,-0.5,10.5
"	2019-01-31",156,0.4,-1.7,4.6
"	2019-02-01",156,-0.2,-3.9,4.8
"	2019-02-02",156,3.8,-2.9,9.6
"	2019-02-03",156,7.3,5.4,11.1
"	2019-02-04",156,4,0,8.3
"	2019-02-05",156,5.4,-1.4,12.6
"	2019-02-06",156,7.3,1.6,13.6
"	2019-02-07",156,2.5,-3.6,6.6
"	2019-02-08",156,-0.9,-4.4,4.7
"	2019-02-09",156,-1.1,-2.7,2
"	2019-02-10",156,-1.2,-4.9,3.8
"	2019-02-11",156,-0.1,-2.1,3.9
"	2019-02-12",156,1.5,-4.3,8.1
"	2019-02-13",156,1.9,-1.9,6.8
"	2019-02-14",156,2.3,-1.5,9.2
"	2019-02-15",156,2.5,-0.2,6.3
"	2019-02-16",156,0.3,-1.6,2.9
"	2019-02-17",156,1.1,-2.8,6.7
"	2019-02-18",156,2.6,-1.6,6.3
"	2019-02-19",156,3.9,0.9,7
"	2019-02-20",156,3.4,0.5,8.2
"	2019-02-21",156,4.2,-1.2,10.9
"	2019-02-22",156,5.4,0.9,11.4
"	2019-02-23",156,7.2,0.2,15.6
"	2019-02-24",156,8,1.7,15.4
"	2019-02-25",156,6.6,1.5,13.9
"	2019-02-26",156,6.8,0,13.8
"	2019-02-27",156,8,4.6,13.3
"	2019-02-28",156,8.1,4.1,14.4
"	2019-03-01",156,6.7,1,14.3
"	2019-03-02",156,9.6,2.1,17.1
"	2019-03-03",156,11.2,7.9,14.4
"	2019-03-04",156,9.3,6.1,15
"	2019-03-05",156,9,2.6,14.2
"	2019-03-06",156,10,5.7,15.7
"	2019-03-07",156,6.5,3.2,12.2
"	2019-03-08",156,7,-0.1,16.6
"	2019-03-09",156,9.2,0.9,17.2
"	2019-03-10",156,8.3,5.4,11.2
"	2019-03-11",156,6.1,2.4,10.9
"	2019-03-12",156,5.9,1.5,12.4
"	2019-03-13",156,5,0.5,10
"	2019-03-14",156,6.9,0,14.1
"	2019-03-15",156,7.5,3.9,13.3
"	2019-03-16",156,7.3,3.8,13.9
"	2019-03-17",156,8.1,3.1,14.3
"	2019-03-18",156,8.7,1.5,14.9
"	2019-03-19",156,11.1,3.4,19.4
"	2019-03-20",156,12.5,7.7,16.7
"	2019-03-21",156,8.1,4.1,15.4
"	2019-03-22",156,5.1,2.6,10.3
"	2019-03-23",156,4.8,1.2,11.1
"	2019-03-24",156,5.3,-0.6,12.5
"	2019-03-25",156,7.4,1.3,14.4
"	2019-03-26",156,12.1,5,20.6
"	2019-03-27",156,14,7.7,19.6
"	2019-03-28",156,12.9,8.7,20.7
"	2019-03-29",156,12.2,5.9,20
"	2019-03-30",156,7.5,4,13
"	2019-03-31",156,5.9,3.4,9.7
"	2019-04-01",156,7.5,2.3,12.8
"	2019-04-02",156,8.2,3.3,14.3
"	2019-04-03",156,7.7,2,15.4
"	2019-04-04",156,9.6,0.9,19.2
"	2019-04-05",156,11.8,7.1,19.6
"	2019-04-06",156,13.4,4.1,22.3
"	2019-04-07",156,12.6,11.5,14.5
"	2019-04-08",156,13.6,7.6,20.4
"	2019-04-09",156,10.7,7.5,17.2
"	2019-04-10",156,7.9,6.2,10
"	2019-04-11",156,10.1,5.5,15.3
"	2019-04-12",156,11.5,5.6,18.1
"	2019-04-13",156,12.4,6.1,19.8
"	2019-04-14",156,10.9,7.5,14.6
"	2019-04-15",156,11.9,4.4,20.7
"	2019-04-16",156,15.2,6,23.9
"	2019-04-17",156,15.7,12.4,20.9
"	2019-04-18",156,16.3,9.4,23.5
"	2019-04-19",156,15.9,14,21.1
"	2019-04-20",156,17.1,11.6,24.6
"	2019-04-21",156,17.8,12.4,23.2
"	2019-04-22",156,20.3,13.4,27.9
"	2019-04-23",156,17.1,15.8,19.7
"	2019-04-24",156,18,16.1,20.9
"	2019-04-25",156,14.8,11.3,19
"	2019-04-26",156,9.5,8.1,11.3
"	2019-04-27",156,13,7.3,19.9
"	2019-04-28",156,13.4,10.1,20
"	2019-04-29",156,12,10.5,13.3
"	2019-04-30",156,15,11.5,20.4
"	2019-05-01",156,14.4,10.2,21.5
"	2019-05-02",156,15.4,8.1,24.1
"	2019-05-03",156,18,8.5,28.9
"	2019-05-04",156,19.6,10.7,28.2
"	2019-05-05",156,19.6,12.4,28.3
"	2019-05-06",156,14,9.6,20
"	2019-05-07",156,14.5,6.8,22
"	2019-05-08",156,15.3,7.4,22.3
"	2019-05-09",156,17.3,10.8,25.3
"	2019-05-10",156,18.6,10.3,27.9
"	2019-05-11",156,19.6,11.8,28.2
"	2019-05-12",156,21.1,14.5,29.2
"	2019-05-13",156,20.4,13.8,27.9
"	2019-05-14",156,22.3,16.2,29
"	2019-05-15",156,23.2,17.3,30.3
"	2019-05-16",156,23.3,17.6,30.7
"	2019-05-17",156,21.2,16.7,28.5
"	2019-05-18",156,18.7,15.9,20.5
"	2019-05-19",156,20.9,19.4,22.7
"	2019-05-20",156,16.3,12.5,20.9
"	2019-05-21",156,17.1,9.5,24.7
"	2019-05-22",156,20.2,12.4,28.5
"	2019-05-23",156,22.2,15.2,30.5
"	2019-05-24",156,23.6,17,29.9
"	2019-05-25",156,23,17.3,29.8
"	2019-05-26",156,22.6,18.3,28.7
"	2019-05-27",156,17.7,13.5,20.3
"	2019-05-28",156,17.3,12,23
"	2019-05-29",156,19.8,11.8,27.6
"	2019-05-30",156,20.4,14.5,28.1
"	2019-05-31",156,17.7,13.2,24.4
"	2019-06-01",156,19.6,13.5,27
"	2019-06-02",156,21.8,15.2,28.8
"	2019-06-03",156,23.1,15.4,31
"	2019-06-04",156,23.9,17.6,31.7
"	2019-06-05",156,24.3,18.2,31.3
"	2019-06-06",156,21.8,17,27.4
"	2019-06-07",156,19.3,17.7,20.8
"	2019-06-08",156,20.8,17.9,25
"	2019-06-09",156,21.4,17.7,27.5
"	2019-06-10",156,19.1,16.7,22.7
"	2019-06-11",156,18.4,15.7,22.8
"	2019-06-12",156,20.3,15.4,26.7
"	2019-06-13",156,21.8,16.8,28
"	2019-06-14",156,19.9,17.9,23
"	2019-06-15",156,20.4,16.7,25.4
"	2019-06-16",156,20.7,16.1,26.6
"	2019-06-17",156,22,17.3,28
"	2019-06-18",156,22.3,19.2,26.9
"	2019-06-19",156,23.5,19.9,28.8
"	2019-06-20",156,23.5,18.5,29.6
"	2019-06-21",156,23.7,19,29.8
"	2019-06-22",156,22.1,18.6,28.2
"	2019-06-23",156,22.8,19.9,29.4
"	2019-06-24",156,23.7,19.1,30.1
"	2019-06-25",156,24.8,19,31
"	2019-06-26",156,20.8,17.6,23.4
"	2019-06-27",156,24.5,21.5,29.9
"	2019-06-28",156,24.3,20.6,29.5
"	2019-06-29",156,21.8,20.5,23.3
"	2019-06-30",156,23.8,20.5,28.5
"	2019-07-01",156,22.6,21.4,25.9
"	2019-07-02",156,23.9,20.6,29.6
"	2019-07-03",156,23.3,19.1,29
"	2019-07-04",156,25.2,20.2,31.3
"	2019-07-05",156,26.5,21.6,32.1
"	2019-07-06",156,26.9,21.6,32.8
"	2019-07-07",156,23.9,20.7,29.9
"	2019-07-08",156,23.4,20.2,28.8
"	2019-07-09",156,23.9,20.3,28.1
"	2019-07-10",156,20.9,20,23.8
"	2019-07-11",156,23.3,21.2,25.1
"	2019-07-12",156,24.4,20.7,28.6
"	2019-07-13",156,23.6,21.1,27.9
"	2019-07-14",156,25.1,21.2,30.4
"	2019-07-15",156,25.2,21.5,29.5
"	2019-07-16",156,24.6,21.2,29.8
"	2019-07-17",156,25.3,21.4,30.4
"	2019-07-18",156,23.6,20.4,26.6
"	2019-07-19",156,24.8,22.7,27.3
"	2019-07-20",156,24.2,22.4,26.5
