연도,월,지역,태양광 전체 설비용량(MW),풍력 전체 설비용량,ESS연계 태양광 설비용량,ESS연계 풍력 설비용량,태양광ESS 설비용량,풍력ESS 설비용량
2018,1,경기도,106.8,5.3,2,3,2,0.1
2018,1,강원도,152.5,323.3,10.5,48,8.9,9
2018,1,경상남도,164.1,47.8,17.3,14,15.4,3
2018,1,경상북도,256.4,337,23.1,90.3,21.2,23.8
2018,1,전라남도,619.6,206.2,47.6,75.8,40.6,9.3
2018,1,전라북도,130.8,19.5,23.7,5,15,1.2
2018,1,충청남도,287.2,2,2.9,0,1.9,0
2018,1,충청북도,92.8,0,8.7,0,5.6,0
2018,1,제주도,122.3,272.8,0,77,0,13.5
2018,1,서울시,11.2,0,0.1,0,0.1,0
2018,1,인천시,25.6,49,7.2,46,6.6,8
2018,1,대전시,11.6,0,0,0,0,0
2018,1,광주시,32.3,0,3.6,0,2.3,0
2018,1,대구시,26.3,0,0,0,0,0
2018,1,세종시,9,0,1.6,0,1,0
2018,1,울산시,13.2,1.7,0,0,0,0
2018,1,부산시,50.3,0.8,4.2,0,3.5,0
2018,2,경기도,109.4,5.3,2,3,2,0.1
2018,2,강원도,160.9,323.3,10.5,48,8.9,9
2018,2,경상남도,167.4,47.8,18.1,14,16.2,3
2018,2,경상북도,258.8,337,24.9,90.3,22.7,23.8
2018,2,전라남도,619.6,226.9,47.6,75.8,40.6,9.3
2018,2,전라북도,131.9,19.5,24.7,5,15.9,1.2
2018,2,충청남도,288.7,2,3.2,0,2.2,0
2018,2,충청북도,93.4,0,8.7,0,5.6,0
2018,2,제주도,123.8,267.9,1,77,1,13.5
2018,2,서울시,11.2,0,0.1,0,0.1,0
2018,2,인천시,25.6,49,7.2,46,6.6,8
2018,2,대전시,11.6,0,0,0,0,0
2018,2,광주시,33.3,0,3.6,0,2.3,0
2018,2,대구시,26.3,0,0,0,0,0
2018,2,세종시,10.5,0,1.6,0,1,0
2018,2,울산시,13.2,1.7,0,0,0,0
2018,2,부산시,50.3,0.8,4.2,0,3.5,0
2018,3,경기도,112.5,5.3,2,3,2,0.1
2018,3,강원도,163.8,323.3,12.5,48,10.9,9
2018,3,경상남도,174,47.8,18.8,14,16.7,3
