시도,시군구,법정동,년도,월,전체호수,전력사용량
강원도,강릉시,강동면,2019,1,132 ,76515 
강원도,강릉시,강동면,2019,2,132 ,73701 
강원도,강릉시,강동면,2019,3,133 ,55273 
강원도,강릉시,강동면,2019,4,135 ,63590 
강원도,강릉시,강동면,2019,5,137 ,64840 
강원도,강릉시,강동면,2019,6,152 ,68767 
강원도,강릉시,강동면,2019,7,155 ,79331 
강원도,강릉시,강동면,2019,8,156 ,119674 
강원도,강릉시,강동면,2019,9,157 ,84203 
강원도,강릉시,강동면,2019,10,153 ,78237 
강원도,강릉시,강동면,2019,11,156 ,92486 
강원도,강릉시,강동면,2019,12,158 ,114922 
강원도,강릉시,강문동,2019,1,6 ,15122 
강원도,강릉시,강문동,2019,2,6 ,14768 
강원도,강릉시,강문동,2019,3,6 ,10261 
강원도,강릉시,강문동,2019,4,6 ,9374 
강원도,강릉시,강문동,2019,5,6 ,6835 
강원도,강릉시,강문동,2019,6,6 ,6058 
강원도,강릉시,강문동,2019,7,6 ,7086 
강원도,강릉시,강문동,2019,8,6 ,10304 
강원도,강릉시,강문동,2019,9,6 ,6664 
강원도,강릉시,강문동,2019,10,6 ,6176 
강원도,강릉시,강문동,2019,11,6 ,5214 
강원도,강릉시,강문동,2019,12,7 ,15404 
강원도,강릉시,견소동,2019,1,10 ,7163 
강원도,강릉시,견소동,2019,2,10 ,6009 
강원도,강릉시,견소동,2019,3,10 ,4096 
강원도,강릉시,견소동,2019,4,10 ,4064 
강원도,강릉시,견소동,2019,5,11 ,3658 
강원도,강릉시,견소동,2019,6,11 ,4005 
강원도,강릉시,견소동,2019,7,11 ,5505 
강원도,강릉시,견소동,2019,8,11 ,8762 
강원도,강릉시,견소동,2019,9,11 ,5666 
강원도,강릉시,견소동,2019,10,11 ,5440 
강원도,강릉시,견소동,2019,11,11 ,6458 
강원도,강릉시,견소동,2019,12,11 ,7738 
강원도,강릉시,교동,2019,1,245 ,147817 
강원도,강릉시,교동,2019,2,246 ,138565 
강원도,강릉시,교동,2019,3,246 ,103890 
강원도,강릉시,교동,2019,4,248 ,102392 
강원도,강릉시,교동,2019,5,253 ,81478 
강원도,강릉시,교동,2019,6,262 ,82387 
강원도,강릉시,교동,2019,7,265 ,89884 
강원도,강릉시,교동,2019,8,267 ,145171 
강원도,강릉시,교동,2019,9,270 ,110953 
강원도,강릉시,교동,2019,10,270 ,108990 
강원도,강릉시,교동,2019,11,270 ,129981 
강원도,강릉시,교동,2019,12,271 ,154941 
강원도,강릉시,구정면,2019,1,161 ,93770 
강원도,강릉시,구정면,2019,2,166 ,95491 
강원도,강릉시,구정면,2019,3,165 ,75805 
강원도,강릉시,구정면,2019,4,166 ,72010 
강원도,강릉시,구정면,2019,5,164 ,62504 
강원도,강릉시,구정면,2019,6,179 ,49788 
강원도,강릉시,구정면,2019,7,188 ,53207 
강원도,강릉시,구정면,2019,8,197 ,81070 
강원도,강릉시,구정면,2019,9,201 ,78995 
강원도,강릉시,구정면,2019,10,204 ,71198 
강원도,강릉시,구정면,2019,11,206 ,78279 
강원도,강릉시,구정면,2019,12,210 ,92911 
강원도,강릉시,금학동,2019,1,0 ,0 
강원도,강릉시,금학동,2019,2,0 ,0 
강원도,강릉시,금학동,2019,3,0 ,0 
강원도,강릉시,금학동,2019,4,0 ,0 
강원도,강릉시,금학동,2019,5,0 ,0 
강원도,강릉시,금학동,2019,6,0 ,0 
강원도,강릉시,금학동,2019,7,0 ,0 
강원도,강릉시,금학동,2019,8,0 ,0 
강원도,강릉시,금학동,2019,9,0 ,0 
강원도,강릉시,금학동,2019,10,0 ,0 
강원도,강릉시,금학동,2019,11,0 ,0 
강원도,강릉시,금학동,2019,12,0 ,0 
강원도,강릉시,난곡동,2019,1,41 ,20556 
강원도,강릉시,난곡동,2019,2,40 ,21291 
강원도,강릉시,난곡동,2019,3,40 ,15174 
강원도,강릉시,난곡동,2019,4,40 ,14542 
강원도,강릉시,난곡동,2019,5,40 ,14448 
강원도,강릉시,난곡동,2019,6,40 ,11023 
강원도,강릉시,난곡동,2019,7,40 ,11976 
강원도,강릉시,난곡동,2019,8,40 ,17976 
강원도,강릉시,난곡동,2019,9,40 ,17060 
강원도,강릉시,난곡동,2019,10,40 ,14714 
강원도,강릉시,난곡동,2019,11,40 ,15679 
강원도,강릉시,난곡동,2019,12,41 ,17687 
강원도,강릉시,남문동,2019,1,8 ,4051 
강원도,강릉시,남문동,2019,2,8 ,4047 
강원도,강릉시,남문동,2019,3,8 ,2841 
강원도,강릉시,남문동,2019,4,8 ,2722 
강원도,강릉시,남문동,2019,5,8 ,2226 
강원도,강릉시,남문동,2019,6,8 ,1796 
강원도,강릉시,남문동,2019,7,8 ,1881 
강원도,강릉시,남문동,2019,8,8 ,2595 
강원도,강릉시,남문동,2019,9,8 ,2908 
강원도,강릉시,남문동,2019,10,8 ,2161 
강원도,강릉시,남문동,2019,11,8 ,2374 
강원도,강릉시,남문동,2019,12,8 ,2977 
강원도,강릉시,남항진동,2019,1,0 ,0 
강원도,강릉시,남항진동,2019,2,0 ,0 
강원도,강릉시,남항진동,2019,3,0 ,0 
강원도,강릉시,남항진동,2019,4,0 ,0 
강원도,강릉시,남항진동,2019,5,0 ,0 
강원도,강릉시,남항진동,2019,6,0 ,0 
강원도,강릉시,남항진동,2019,7,0 ,0 
강원도,강릉시,남항진동,2019,8,0 ,0 
강원도,강릉시,남항진동,2019,9,0 ,0 
강원도,강릉시,남항진동,2019,10,0 ,0 
강원도,강릉시,남항진동,2019,11,0 ,0 
강원도,강릉시,남항진동,2019,12,0 ,0 
강원도,강릉시,내곡동,2019,1,71 ,38761 
강원도,강릉시,내곡동,2019,2,73 ,38532 
강원도,강릉시,내곡동,2019,3,73 ,31057 
강원도,강릉시,내곡동,2019,4,73 ,30252 
강원도,강릉시,내곡동,2019,5,73 ,24237 
강원도,강릉시,내곡동,2019,6,82 ,31444 
강원도,강릉시,내곡동,2019,7,84 ,37293 
강원도,강릉시,내곡동,2019,8,84 ,44792 
강원도,강릉시,내곡동,2019,9,85 ,36925 
강원도,강릉시,내곡동,2019,10,85 ,35533 
강원도,강릉시,내곡동,2019,11,86 ,41381 
강원도,강릉시,내곡동,2019,12,86 ,45128 
강원도,강릉시,노암동,2019,1,142 ,71147 
강원도,강릉시,노암동,2019,2,143 ,68937 
강원도,강릉시,노암동,2019,3,144 ,54371 
강원도,강릉시,노암동,2019,4,145 ,54729 
강원도,강릉시,노암동,2019,5,148 ,48400 
강원도,강릉시,노암동,2019,6,156 ,48998 
강원도,강릉시,노암동,2019,7,156 ,49711 
